,Requerimiento,Descripcion
RF1,El sistema permite a los usuarios (Tutores y Cuidadores) registrarse con correo electrónico.,"El sistema debe permitir que los usuarios, tanto los Tutores como los Cuidadores puedan registrarse usando un correo electronico para crear una cuenta dentro de la plataforma."
RF2,Inicio de sesión seguro con autenticación mediante correo electrónico.,El inicio de sesión debe incluir autenticación con el correo y la contraseña.
RF3,"El sistema permite al Cuidador crear su perfil con foto, experiencia, certificaciones, experiencia, disponibilidad y tarifas.","El sistema debe permitir que el Cuidador cree y administre un perfil que incluya: una fotografía, experiencia laboral, certificaciones, disponibilidad y tarifas de servicio"
RF4,Las tarifas están asociadas al nivel de experiencia y capacidades del Cuidador,El sistema incluye un nivel de experiencia en cada cuidador que determinará la tarifa que se le mostrará al tutor. También habrá un apartado de capacidades del cuidador en donde se especificará el tipo de cuidados que puede proporcionar.
RF5,El sistema permite al Tutor crear su perfil con información sobre sus hijos y necesidades específicas.,El sistema debe permitir que el Tutor registre informacion relacionada a sus hijos y las necesidades de cuidado requeridas para facilitar la busqueda de cuidadores adecuados
RF6,"El sistema permite al Tutor buscar cuidadores por ubicación, disponibilidad, precio, experiencia y calificaciones.","El sistema mostrará al tutor una lista de los cuidadores disponibles junto con su horario de disponiblidad por días (ej. lunes a viernes de 2 a 9 pm), precio, experiencia (medida en número de servicios proporcionados), calificacion (de 0 a 5 estrellas) e información personal."
RF7,El sistema permite al Cuidador recibir solicitudes de cuidado basadas en su ubicación y horario.,El sistema debe enviar al Cuidador solicitudes de servicio compatibles con su disponibilidad y ubicación registrada dentro de la plataforma
RF8,El sistema permite al Tutor agendar citas con Cuidadores según disponibilidad.,"El sistema permitirá al Tutor seleccionar un Cuidador y reservar fechas y horarios disponibles desde un calendario integrado. Una vez realizada la solicitud, la cita quedará pendiente hasta que el Cuidador confirme o rechace la reserva."
RF9,El sistema permite el envío de recordatorios automáticos a través del envío de correos electrónicos.,"El sistema enviará automáticamente correos electrónicos a Tutores y Cuidadores para recordar próximas citas, cambios en reservas, confirmaciones o cancelaciones, ayudando a mantener una adecuada organización de las actividades programadas."
RF10,El sistema permite al Cuidador aceptar o rechazar citas agendadas por el Tutor.,"El sistema permitirá al Cuidador visualizar las solicitudes pendientes y decidir si acepta o rechaza el servicio solicitado. Una vez tomada la decisión, el Tutor recibirá una notificación automática con el estado actualizado de la reserva."
RF11,El sistema permite al Tutor calificar y dejar reseñas sobre el Cuidador.,"El sistema permitirá que el Tutor evalúe el servicio recibido mediante una escala de calificación y comentarios escritos relacionados con puntualidad, calidad del cuidado, trato recibido y experiencia general con el Cuidador."
RF12,"El sistema permite al Cuidador calificar la experiencia con los Tutores, la calificación y comentarios permanecen de forma privada solo para el Cuidador en sus notas personales","El sistema permitirá al Cuidador registrar observaciones privadas sobre la experiencia de trabajo con determinados Tutores, incluyendo comentarios relacionados con comunicación, cumplimiento de acuerdos y comportamiento durante el servicio."
RF13,"El sistema envía correos electrónicos sobre reservas, mensajes y pagos.","El sistema generará y enviará correos electrónicos automáticos para informar a los usuarios sobre nuevas reservas, recepción de mensajes, confirmaciones de pago, cancelaciones o cualquier actividad importante realizada dentro de la plataforma."
RF14,El sistema envía correos electrónicos como recordatorios de citas próximas.,"El sistema enviará recordatorios automáticos antes de cada cita programada indicando fecha, hora, datos del servicio y usuario involucrado para reducir olvidos o ausencias."
RF15,El sistema permite al Cuidador y al Tutor consultar su agenda.,"El sistema mostrará a cada usuario un calendario actualizado con las citas programadas, horarios ocupados, disponibilidad restante y detalles básicos de cada servicio agendado."
RF16,El sistema permite al Cuidador consultar el reglamento y normas de conducta establecidas para el correcto desempeño de su labor como cuidador.,"El sistema proporcionará acceso a un apartado donde el Cuidador podrá consultar reglamentos, políticas y normas de conducta definidas por la plataforma para asegurar un comportamiento adecuado y profesional durante la prestación del servicio."
RNF1,Cifrado de datos y medidas de seguridad para proteger la información,"El sistema deberá implementar mecanismos de seguridad que permitan proteger la información personal y confidencial de los usuarios, incluyendo cifrado de datos sensibles, almacenamiento seguro de contraseñas y control de acceso para evitar accesos no autorizados dentro de la plataforma."
RNF2,Arquitectura que permita crecer con más usuarios sin afectar el rendimiento,"El sistema deberá contar con una arquitectura escalable que permita soportar el incremento de usuarios, registros, búsquedas y operaciones simultáneas sin disminuir la velocidad, estabilidad o rendimiento general de la aplicación."
RNF3,La aplicación debe estar disponible 24/7 con un tiempo de inactividad mínimo,"La plataforma deberá mantenerse operativa las 24 horas del día y los 7 días de la semana, garantizando la disponibilidad continua de sus servicios y minimizando interrupciones o fallas que afecten el acceso de los usuarios."
RNF4,"Diseño intuitivo, accesible y optimizado para móviles.","La aplicación deberá ofrecer una interfaz clara, sencilla y fácil de utilizar para cualquier tipo de usuario, además de estar optimizada para dispositivos móviles y diferentes tamaños de pantalla."
RNF5,Aplicación móvil IOS y Android.,"El sistema deberá ser compatible con dispositivos móviles que utilicen sistemas operativos IOS y Android, garantizando un funcionamiento estable y una experiencia uniforme en ambas plataformas."
RNF6,Respuesta rápida en la carga de perfiles y búsquedas (< 4 segundos).,"El sistema deberá procesar consultas, búsquedas y carga de perfiles en un tiempo menor a 4 segundos bajo condiciones normales de operación para asegurar una experiencia fluida y eficiente para los usuarios."
RNF7,Actualizaciones periódicas con mejoras de seguridad y rendimiento.,"La plataforma deberá permitir la implementación de actualizaciones periódicas destinadas a corregir errores, mejorar la seguridad, optimizar el rendimiento y agregar mejoras funcionales sin afectar significativamente la disponibilidad del sistema. Esto implica que el código debe ser mantenible y debe estar ordenado en secciones."
